node,obs_st,time
205,0,0
114,0,0
89,0,0
5,0,0
299,0,1
280,0,1
192,0,1
172,0,1
279,0,2
321,0,2
248,0,2
77,0,2
10,0,3
200,0,3
299,0,3
204,0,3
105,0,4
242,0,4
79,0,4
258,0,4
317,1,5
291,1,5
180,0,5
103,0,5
203,0,6
282,0,6
122,0,6
218,0,6
326,0,7
7,0,7
242,0,7
155,0,7
260,0,8
309,1,8
110,0,8
135,0,8
41,0,9
209,0,9
136,0,9
117,0,9
289,0,10
240,0,10
234,0,10
183,0,10
296,1,11
161,0,11
274,0,11
208,0,11
10,0,12
298,0,12
142,0,12
316,0,12
263,0,13
204,1,13
241,0,13
253,0,13
140,0,14
156,0,14
137,0,14
71,1,14
83,0,15
125,0,15
222,0,15
244,0,15
289,0,16
325,1,16
261,0,16
176,0,16
12,0,17
202,0,17
7,0,17
156,0,17
189,0,18
56,0,18
294,0,18
58,0,18
