node,obs_st,time
257,0,0
166,0,0
41,1,0
250,0,0
38,0,1
98,0,1
267,0,1
80,0,1
214,0,2
85,0,2
12,0,2
215,0,2
53,0,3
92,0,3
77,0,3
316,0,3
152,0,4
160,0,4
48,0,4
50,0,4
3,0,5
164,0,5
87,0,5
228,0,5
20,0,6
42,1,6
282,1,6
53,0,6
286,0,7
288,0,7
190,0,7
235,0,7
295,0,8
56,0,8
145,0,8
138,0,8
252,1,9
196,0,9
302,0,9
319,0,9
117,0,10
247,1,10
97,1,10
104,1,10
73,0,11
25,0,11
153,1,11
275,1,11
210,0,12
23,0,12
33,0,12
127,0,12
188,0,13
156,0,13
321,0,13
316,0,13
230,0,14
116,0,14
179,0,14
126,1,14
89,0,15
289,0,15
6,0,15
75,0,15
23,0,16
272,1,16
30,0,16
310,0,16
192,0,17
132,0,17
23,0,17
95,0,17
121,0,18
17,0,18
122,0,18
287,0,18
