node,obs_st,time
61,0,0
282,0,0
209,0,1
75,0,1
22,0,2
245,0,2
88,0,3
9,0,3
224,0,4
201,0,4
144,0,5
167,0,5
186,0,6
95,0,6
195,0,7
277,0,7
265,0,8
276,0,8
121,0,9
288,0,9
48,0,10
22,0,10
273,0,11
86,0,11
33,0,12
42,0,12
316,0,13
78,0,13
13,0,14
267,0,14
77,0,15
294,0,15
93,1,16
50,0,16
214,0,17
147,0,17
323,0,18
249,1,18
179,0,19
288,0,19
80,1,20
70,1,20
250,1,21
118,0,21
258,1,22
244,0,22
84,0,23
201,1,23
212,0,24
173,0,24
188,0,25
245,0,25
97,1,26
116,0,26
160,1,27
40,0,27
313,0,28
15,0,28
130,0,29
20,0,29
244,0,30
126,1,30
29,0,31
220,0,31
287,0,32
120,0,32
88,0,33
54,0,33
105,0,34
216,0,34
286,0,35
202,0,35
165,0,36
109,0,36
